[2023-02-23T23:30:14.736] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:15.197] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:16.092] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:27.470] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:28.627] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:29.324] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:30.361] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:30.658] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:31.377] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:32.427] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:33.126] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:33.515] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:34.275] [WARN] default - /favicon.ico not found
[2023-02-23T23:31:07.193] [WARN] default - /favicon.ico not found
[2023-02-23T23:31:08.348] [WARN] default - /favicon.ico not found
[2023-02-23T23:31:09.936] [WARN] default - /favicon.ico not found
[2023-02-23T23:31:10.529] [WARN] default - /favicon.ico not found
[2023-02-23T23:31:11.326] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:34.846] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:34.855] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:37.967] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:38.822] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:39.029] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:39.576] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:39.925] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:40.243] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:46.993] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:51.378] [WARN] default - /favicon.ico not found
[2023-02-23T23:39:51.577] [WARN] default - /favicon.ico not found
[2023-02-23T23:40:51.682] [WARN] default - /favicon.ico not found
[2023-02-23T23:40:53.415] [WARN] default - /favicon.ico not found
[2023-02-24T17:16:51.812] [WARN] default -  not found
[2023-02-24T17:16:52.182] [WARN] default - /favicon.ico not found
[2023-02-24T17:16:58.125] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:12.372] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:17.489] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:19.864] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:20.320] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:21.106] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:22.517] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:24.673] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:27.092] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:27.247] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:27.755] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:28.327] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:28.754] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:29.323] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:29.865] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:30.539] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:30.870] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:31.016] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:33.071] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:33.436] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:33.603] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:36.271] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:36.597] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:36.725] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:38.196] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:38.446] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:38.605] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:41.907] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:42.612] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:42.800] [WARN] default - /favicon.ico not found
[2023-02-24T17:17:44.424] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:00.002] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:01.734] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:22.302] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:24.592] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:25.909] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:27.334] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:28.812] [WARN] default - /favicon.ico not found
[2023-02-24T17:19:56.607] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:23.476] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:25.981] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:27.368] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:27.593] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:27.856] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:36.386] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:40.578] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:40.769] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:40.891] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:41.138] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:42.267] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:42.794] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:42.933] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:51.564] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:52.716] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:54.583] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:54.804] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:55.397] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:55.574] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:55.730] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:57.474] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:58.206] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:58.376] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:58.933] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:59.216] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:59.437] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:59.696] [WARN] default - /favicon.ico not found
[2023-02-24T17:46:59.885] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:00.330] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:01.946] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:02.046] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:04.747] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:04.887] [WARN] default - /favicon.ico not found
[2023-02-24T17:47:57.695] [WARN] default - /favicon.ico not found
[2023-02-24T17:48:10.725] [WARN] default - /favicon.ico not found
[2023-02-24T17:48:12.551] [WARN] default - /favicon.ico not found
[2023-02-24T17:49:21.434] [WARN] default - /favicon.ico not found
[2023-02-24T17:49:23.452] [WARN] default - /favicon.ico not found
[2023-02-24T17:52:49.184] [WARN] default - /products not found
[2023-02-24T17:52:49.285] [WARN] default - /favicon.ico not found
[2023-02-24T17:52:54.299] [WARN] default - /favicon.ico not found
[2023-02-24T17:53:00.980] [WARN] default - /favicon.ico not found
